ID,Sales_Person,Customer_Name,Car_Make,Car_Model,Car_Year,Sale_Price,Commission_Rate,Commission_Earned,Year,Month,Month_ID,Day,Day_ID,Day_Index,,,
22,Anthony Horton,Bruce Wheeler,Nissan,Altima,2017,40944,0.136169171,5575.31,2023,April,4,Friday,5,7,,,
23,Mitchell Garcia,Samuel Williams,Honda,Civic,2010,38163,0.077629692,2962.58,2022,December,12,Wednesday,3,28,,,
24,Andrea Walker,Terry Hubbard,Nissan,Civic,2017,39161,0.057636643,2257.11,2022,November,11,Friday,5,4,,,
25,Cathy Larson,Chelsea Davies,Toyota,Silverado,2013,18753,0.082271849,1542.84,2022,September,9,Thursday,4,1,,,
26,Robert Nguyen,Chloe Baldwin,Chevrolet,F-150,2018,23716,0.132306297,3137.78,2022,May,5,Tuesday,2,17,,,
27,Joshua Harris,Heather Snyder,Chevrolet,Civic,2012,22990,0.133627727,3072.1,2022,December,12,Sunday,7,4,,,
28,Sean Scott,Nathaniel Castillo,Chevrolet,Civic,2017,11311,0.074943597,847.69,2022,October,10,Saturday,6,22,,,
29,Leslie Chase,Tiffany Cox,Nissan,Corolla,2017,25349,0.070323463,1782.63,2022,December,12,Monday,1,26,,,
30,Steven Duffy,Ronnie Shields,Toyota,Corolla,2017,44475,0.052491773,2334.57,2022,November,11,Monday,1,28,,,
31,Miranda Strong,Laura Poole,Chevrolet,Corolla,2022,12217,0.102024386,1246.43,2022,June,6,Tuesday,2,7,,,
32,Adam Gibson,Marc Barnes,Ford,Altima,2016,38538,0.054178477,2087.93,2022,November,11,Saturday,6,12,,,
33,Justin Brown,Paula Smith,Chevrolet,Silverado,2015,21420,0.103518378,2217.36,2022,September,9,Friday,5,23,,,
34,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.134438837,5172.4,2023,March,3,Wednesday,3,15,,,
35,Edward Huffman,Todd Schultz,Toyota,Corolla,2020,49684,0.134843205,6699.55,2023,March,3,Friday,5,3,,,
36,Tyler Gallagher,Angelica Miles,Ford,Civic,2011,13800,0.145709076,2010.79,2023,February,2,Monday,1,20,,,
37,Carolyn Smith,David Miller,Ford,Civic,2018,28827,0.070562499,2034.11,2022,July,7,Thursday,4,14,,,
38,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.114535922,3818.63,2023,April,4,Saturday,6,29,,,
39,Kathleen Taylor,Erika Kim,Toyota,Civic,2015,47539,0.110964057,5275.12,2022,July,7,Tuesday,2,26,,,
40,Keith Bruce,Theresa Brown,Honda,F-150,2016,11482,0.111013028,1274.65,2022,May,5,Sunday,7,15,,,
41,Megan Graham,Mary Mathis,Chevrolet,Silverado,2021,38480,0.145349393,5593.04,2022,September,9,Monday,1,19,,,
42,Cynthia Arnold,Robert Zimmerman,Nissan,Altima,2013,36942,0.101320904,3743,2022,May,5,Sunday,7,8,,,
43,Yolanda Williams,Melissa Wood,Ford,Corolla,2021,38335,0.124314983,4765.61,2022,July,7,Saturday,6,23,,,
44,Michael Johnson,Tiffany Stanton,Nissan,Altima,2017,48998,0.102770428,5035.55,2023,January,1,Wednesday,3,25,,,
45,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.092190722,3866.2,2022,September,9,Sunday,7,4,,,
46,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.113489793,2298.85,2022,June,6,Thursday,4,16,,,
47,Katie Thompson,Kevin Brown,Nissan,Civic,2013,47228,0.05031852,2376.44,2022,October,10,Sunday,7,9,,,
48,Reginald Ford,Stacy Scott,Chevrolet,Civic,2022,21727,0.108424798,2355.75,2022,June,6,Friday,5,3,,,
49,Eric Hayes,Rachel Jenkins,Ford,Civic,2021,30482,0.077430766,2360.24,2022,August,8,Saturday,6,20,,,
50,Dennis Burns,Daniel Hull,Toyota,Altima,2017,37436,0.05314715,1989.62,2023,January,1,Tuesday,2,24,,,
51,Eric Weber,Brian Barrett,Honda,F-150,2022,45059,0.080225567,3614.88,2023,January,1,Wednesday,3,25,,,
52,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.077246935,1140.86,2022,December,12,Sunday,7,18,,,
53,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.14278012,5910.67,2022,June,6,Sunday,7,12,,,
54,Brandon Cannon,Javier Taylor,Chevrolet,F-150,2017,39415,0.118693459,4678.3,2023,March,3,Monday,1,27,,,
55,Richard Nunez,Matthew Palmer,Honda,Silverado,2021,49957,0.086957462,4344.13,2022,September,9,Friday,5,30,,,
56,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.071623758,3311.38,2022,June,6,Monday,1,20,,,
57,Randy Guzman,Anthony Cooke,Toyota,Altima,2022,20032,0.115965849,2323.03,2023,January,1,Tuesday,2,3,,,
58,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.099503651,2720.13,2022,September,9,Friday,5,2,,,
59,Laurie Santiago,Charles Woods,Chevrolet,Altima,2017,17484,0.074780015,1307.45,2022,September,9,Thursday,4,29,,,
60,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.149925782,2445.14,2023,April,4,Thursday,4,6,,,
61,Julie Mclean,Laura Berry,Nissan,Silverado,2011,49863,0.07070547,3525.59,2022,June,6,Tuesday,2,14,,,
62,Karen Miller,James Randolph,Chevrolet,F-150,2013,13626,0.060660353,826.56,2022,December,12,Sunday,7,18,,,
63,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.09254116,3818.16,2023,March,3,Sunday,7,12,,,
64,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.090592146,4368.72,2023,January,1,Sunday,7,29,,,
65,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.122348852,4454.6,2022,May,5,Sunday,7,29,,,
66,Kent Taylor,Dawn Davis,Chevrolet,Civic,2012,44954,0.074381805,3343.76,2022,August,8,Saturday,6,27,,,
67,Melissa Shelton,Scott Perry,Chevrolet,F-150,2012,48943,0.125703334,6152.3,2023,March,3,Wednesday,3,15,,,
68,Mary Thomas,Cody Schmidt,Nissan,Corolla,2010,38828,0.13567824,5268.11,2022,December,12,Thursday,4,29,,,
69,Michael Smith,Janice Perez,Honda,Silverado,2011,38525,0.067972276,2618.63,2023,March,3,Thursday,4,9,,,
70,Luis Garcia,Andrea Rowe,Nissan,Civic,2019,36157,0.103018816,3724.85,2022,August,8,Sunday,7,7,,,
71,Kelly Castillo,Joshua Reid,Honda,Altima,2010,43408,0.136193501,5911.89,2022,October,10,Monday,1,3,,,
72,Michael Molina,Angel Daniel,Chevrolet,Silverado,2021,15252,0.12358035,1884.85,2023,April,4,Thursday,4,20,,,
73,Christine Pratt,David Adams,Chevrolet,F-150,2010,28625,0.143275336,4101.26,2022,October,10,Wednesday,3,12,,,
74,Scott Rodriguez,Daniel Reyes,Honda,Silverado,2010,33691,0.085117126,2867.68,2023,April,4,Friday,5,21,,,
75,Sharon Anderson,Mr. Brady Chavez,Chevrolet,Altima,2011,32237,0.076162725,2455.26,2022,September,9,Monday,1,5,,,
76,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.112326294,3328,2022,August,8,Friday,5,12,,,
77,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.103874895,1071.26,2023,April,4,Thursday,4,6,,,
78,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.055250978,2022.57,2022,December,12,Wednesday,3,21,,,
79,Richard Bryant,James Alexander,Chevrolet,Civic,2022,34672,0.123789134,4292.02,2022,August,8,Friday,5,5,,,
80,Cheyenne Price,Aaron Rodriguez,Toyota,Corolla,2010,18139,0.142427446,2583.49,2022,December,12,Monday,1,19,,,
81,Gregory Luna,Shannon Keith,Chevrolet,F-150,2021,45603,0.141163943,6437.5,2022,August,8,Thursday,4,25,,,
82,Robert Wells,Diana Crawford,Toyota,Civic,2013,45263,0.087599359,3965.01,2023,February,2,Thursday,4,2,,,
83,Hannah Rodriguez,Barry Woods,Toyota,Silverado,2015,24164,0.12664642,3060.28,2023,January,1,Saturday,6,7,,,
84,Joshua Cruz,Kelly Hogan,Toyota,F-150,2013,40458,0.062791448,2540.42,2022,August,8,Saturday,6,20,,,
85,Lisa Benjamin,Sara Huff,Honda,Corolla,2014,48166,0.105950074,5103.19,2022,September,9,Monday,1,12,,,
86,Kendra Lopez,Antonio Stanley,Honda,Corolla,2016,47951,0.062379705,2991.17,2022,November,11,Wednesday,3,9,,,
87,Michael Davis,Garrett Reese,Nissan,F-150,2015,27105,0.067195691,1821.34,2022,November,11,Tuesday,2,22,,,
88,Penny Howell,Amy Edwards,Nissan,Altima,2011,48886,0.060232439,2944.52,2022,July,7,Friday,5,22,,,
89,Stephanie Peterson,Sara Brown,Ford,Altima,2016,43056,0.088270508,3800.57,2022,July,7,Sunday,7,31,,,
90,Joshua James,Stephanie Lopez,Toyota,Corolla,2021,47671,0.067379256,3212.04,2022,September,9,Friday,5,16,,,
91,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.052007775,2075.94,2022,August,8,Friday,5,12,,,
92,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.086185324,1592.88,2022,August,8,Tuesday,2,23,,,
93,Darin Cook,Autumn Silva,Chevrolet,Altima,2020,33061,0.066717762,2205.76,2023,February,2,Friday,5,17,,,
94,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.127227796,2182.97,2022,October,10,Tuesday,2,18,,,
95,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.093451209,2691.02,2023,March,3,Thursday,4,9,,,
96,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.084780882,2045.59,2022,September,9,Wednesday,3,28,,,
97,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.128288109,4733.19,2022,December,12,Tuesday,2,20,,,
98,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.144237331,2422.75,2022,July,7,Tuesday,2,26,,,
99,Philip Rosales,Lisa Hale,Nissan,F-150,2018,30914,0.064788703,2002.88,2022,July,7,Monday,1,11,,,
100,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.136991193,4134.94,2022,July,7,Monday,1,18,,,
101,Brandon Lutz,Candice Smith,Honda,Corolla,2022,28865,0.112591489,3249.95,2022,May,5,Wednesday,3,11,,,
102,Mr. Kirk Owens,George Wong,Honda,Altima,2018,48495,0.056903798,2759.55,2023,February,2,Sunday,7,19,,,
103,Jonathan Johnson,William Malone,Honda,F-150,2010,44172,0.081057785,3580.48,2022,October,10,Sunday,7,23,,,
104,Raven Williams DVM,Curtis Reyes,Toyota,Corolla,2019,29016,0.1045595,3033.9,2023,January,1,Saturday,6,14,,,
105,Angela Molina,Steven Jackson,Chevrolet,Silverado,2014,49368,0.089917986,4439.07,2022,August,8,Saturday,6,6,,,
106,Dawn Boyer,Aimee Love,Nissan,F-150,2012,38719,0.13817088,5349.84,2022,December,12,Friday,5,16,,,
107,David Anderson,Russell Arnold,Honda,F-150,2018,35985,0.138536276,4985.23,2022,November,11,Wednesday,3,16,,,
108,Lindsay Ward,Michael Valencia,Chevrolet,Silverado,2015,37866,0.132603851,5021.18,2022,July,7,Saturday,6,23,,,
109,Amber Horne,George Howard,Toyota,F-150,2022,34511,0.091688449,3164.26,2023,April,4,Monday,1,24,,,
110,Christopher Mercado,Michelle Fritz,Toyota,Altima,2017,26010,0.076709453,1995.21,2022,September,9,Friday,5,30,,,
111,Jamie Bell,Travis Thompson,Ford,Civic,2022,24843,0.13808193,3430.37,2022,August,8,Tuesday,2,30,,,
112,Casey White,Anna Hays,Nissan,Altima,2018,31949,0.14605331,4666.26,2022,December,12,Sunday,7,18,,,
113,Kelly Rios,Danielle Carter,Nissan,F-150,2019,13830,0.07369283,1019.17,2023,March,3,Thursday,4,9,,,
114,Jennifer Henderson,Donna Rice,Nissan,Silverado,2012,46576,0.073307285,3414.36,2022,October,10,Friday,5,14,,,
115,Dr. Rebecca Mitchell,Beth Baldwin,Honda,Altima,2012,18271,0.080971768,1479.44,2022,October,10,Thursday,4,13,,,
116,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.084404408,3510.13,2022,December,12,Monday,1,19,,,
117,Erica Wood,Drew Durham,Nissan,Corolla,2022,16658,0.124854826,2079.83,2022,December,12,Thursday,4,1,,,
118,Sharon Kirk,Savannah Martin,Honda,Civic,2021,42022,0.11863475,4985.27,2022,May,5,Wednesday,3,25,,,
119,Faith Pierce,Jimmy Dunn,Honda,Silverado,2016,35279,0.063399664,2236.68,2023,February,2,Wednesday,3,15,,,
120,Stephen Compton,Felicia Smith,Nissan,Altima,2017,13166,0.115021379,1514.37,2022,August,8,Monday,1,8,,,
121,Christopher Woodard,Michelle Martinez,Chevrolet,Corolla,2019,20199,0.077463743,1564.69,2023,March,3,Wednesday,3,8,,,
122,Keith White,Bethany Carlson,Toyota,Corolla,2016,19723,0.118540326,2337.97,2023,April,4,Saturday,6,29,,,
123,James Hoover,Bobby Wright,Honda,Silverado,2012,34655,0.108266551,3751.98,2022,September,9,Friday,5,9,,,
124,Christopher Thornton,Amanda Garrison,Chevrolet,Civic,2017,24621,0.107534116,2647.6,2023,March,3,Wednesday,3,8,,,
125,Patricia Murray,Randall Green,Toyota,Silverado,2018,41455,0.060638208,2513.76,2023,April,4,Saturday,6,22,,,
126,Kaylee Hernandez,Nathan Finley,Nissan,Silverado,2019,26165,0.053978112,1412.34,2023,February,2,Saturday,6,25,,,
127,Maria Barnes,Raymond Rodriguez,Nissan,F-150,2019,14272,0.12188215,1739.5,2022,September,9,Thursday,4,15,,,
128,Stephanie Reynolds,Alexander Brooks,Ford,Altima,2015,37720,0.105633704,3984.5,2022,June,6,Tuesday,2,14,,,
129,Linda Jackson,Valerie Little,Ford,Altima,2022,14793,0.072448954,1071.74,2022,May,5,Thursday,4,19,,,
130,Suzanne Andrade,James Esparza,Honda,Corolla,2010,22183,0.121096511,2686.28,2022,November,11,Wednesday,3,9,,,
131,John Gould,Douglas Mccoy,Ford,F-150,2014,25380,0.097194416,2466.79,2022,December,12,Monday,1,12,,,
132,Brian Miller,Kristin Nguyen MD,Honda,Silverado,2016,35065,0.116525988,4085.98,2022,June,6,Saturday,6,18,,,
133,Stephanie Estrada,Andrew Martin,Honda,Civic,2020,30334,0.083300446,2526.84,2023,March,3,Thursday,4,16,,,
134,Thomas Vega,Christine Mcintosh,Toyota,Civic,2016,18946,0.064030264,1213.12,2022,December,12,Thursday,4,15,,,
135,Scott Robertson,Linda Figueroa,Ford,F-150,2014,33033,0.062239483,2055.96,2022,October,10,Saturday,6,1,,,
136,Jose Jarvis,Lee Franco,Ford,Civic,2019,26010,0.138372743,3599.08,2023,March,3,Sunday,7,12,,,
137,Anne Rodriguez,Nathan Pham,Ford,Altima,2019,36694,0.144354938,5296.96,2023,February,2,Thursday,4,9,,,
138,Jessica Ramos,Caitlyn Thompson,Chevrolet,Silverado,2016,16508,0.053974365,891.01,2023,April,4,Sunday,7,9,,,
139,Douglas Santos,Matthew Wilson,Honda,Altima,2015,18390,0.050229897,923.73,2022,August,8,Wednesday,3,31,,,
140,Scott Jackson,Whitney Jones,Toyota,Civic,2012,46178,0.134734585,6221.77,2022,July,7,Tuesday,2,5,,,
141,Tyler Sanders,Kristina Byrd,Nissan,Silverado,2014,37895,0.112888838,4277.92,2022,June,6,Saturday,6,11,,,
142,Michael Nguyen,Karen Bailey,Honda,Corolla,2022,40686,0.125305839,5098.19,2022,August,8,Saturday,6,27,,,
143,Michael Vasquez,Brenda Brady,Nissan,Civic,2020,12206,0.064781317,790.72,2022,June,6,Wednesday,3,22,,,
144,Joshua Gonzalez,Jack Mcfarland,Ford,Altima,2013,22503,0.064448292,1450.28,2022,December,12,Thursday,4,29,,,
145,Patrick Andrews,Sarah Trujillo,Ford,Corolla,2014,49243,0.050655251,2494.42,2023,April,4,Sunday,7,16,,,
146,Samuel Brown,David Wagner,Chevrolet,F-150,2016,33502,0.122923326,4118.18,2022,June,6,Thursday,4,23,,,
147,Kathleen Hart,Stephanie Rich,Chevrolet,F-150,2015,34717,0.129289573,4488.55,2022,November,11,Saturday,6,19,,,
148,Curtis Miller,Aaron Vang,Honda,F-150,2013,31032,0.067788292,2103.61,2022,December,12,Saturday,6,24,,,
149,Amber Cooper,Claire Day,Nissan,F-150,2018,30296,0.100170363,3034.76,2022,July,7,Thursday,4,14,,,
150,Miss Rachel Huang,Rita Cooper,Honda,Silverado,2019,27116,0.062893532,1705.42,2022,December,12,Friday,5,9,,,
151,Paul Potter,Corey West,Honda,Corolla,2018,28406,0.085246638,2421.52,2022,July,7,Sunday,7,17,,,
152,Jill Jenkins,Amanda Hernandez,Honda,F-150,2011,17314,0.091185676,1578.79,2023,February,2,Monday,1,13,,,
153,Jason Cabrera,Rebecca Hansen,Chevrolet,F-150,2012,20725,0.145073441,3006.65,2022,December,12,Sunday,7,11,,,
154,Michele Mcdaniel,Mrs. Sarah Vargas,Toyota,Corolla,2019,32328,0.101680117,3287.11,2022,May,5,Tuesday,2,10,,,
155,Brenda Morales,Jason Hahn,Ford,Altima,2011,23330,0.068980756,1609.32,2022,July,7,Monday,1,18,,,
156,Amanda Nash,Wendy Graham,Toyota,F-150,2015,46084,0.13929057,6419.07,2023,March,3,Wednesday,3,15,,,
157,Jonathan Carter,Jennifer Flowers,Chevrolet,Altima,2011,41318,0.08368844,3457.84,2023,February,2,Wednesday,3,1,,,
158,Judith Mcdonald,Susan Miller,Chevrolet,F-150,2015,32184,0.056138046,1806.75,2022,November,11,Wednesday,3,23,,,
159,Isabel Walton,Jeremiah Mclaughlin,Ford,Altima,2022,44499,0.064096088,2852.21,2022,May,5,Sunday,7,1,,,
160,Jason Mitchell,Richard Clark,Chevrolet,Silverado,2020,31141,0.072914325,2270.63,2022,May,5,Thursday,4,19,,,
161,Brittany Stanton,Michael Russell,Toyota,F-150,2017,30829,0.059815017,1844.04,2022,June,6,Wednesday,3,1,,,
162,Laura Ellison,Lisa Moore,Toyota,F-150,2022,23421,0.077752912,1821.05,2022,May,5,Monday,1,2,,,
163,Miguel Martinez,Laura Ware,Honda,Altima,2013,34173,0.127358121,4352.21,2022,December,12,Sunday,7,11,,,
164,Jacob Silva,Mary Moreno,Ford,Silverado,2017,47283,0.133449284,6309.88,2023,January,1,Friday,5,6,,,
165,Billy Dominguez,Deanna Barnes DDS,Ford,Silverado,2014,47497,0.085827834,4076.56,2022,May,5,Tuesday,2,10,,,
166,Joseph Kim,Devin Henry,Honda,Civic,2013,34241,0.086457352,2960.39,2022,August,8,Thursday,4,4,,,
167,Donald Crawford,Michael Douglas,Chevrolet,Civic,2015,11738,0.074345292,872.67,2023,March,3,Thursday,4,30,,,
168,Laura Martin,Holly Lee,Chevrolet,Corolla,2018,48146,0.083384572,4014.63,2023,January,1,Tuesday,2,10,,,
169,Brian Eaton,Maria Carroll,Ford,F-150,2012,33680,0.097413458,3280.89,2023,February,2,Tuesday,2,7,,,
170,Austin Krueger,Douglas Mueller,Nissan,Silverado,2018,34819,0.113393922,3948.26,2022,November,11,Sunday,7,27,,,
171,Ana Reynolds,Jeffrey Guzman,Nissan,Corolla,2022,49339,0.136181628,6719.07,2023,April,4,Thursday,4,20,,,
172,Jennifer Short,Tracy Ford,Ford,Altima,2012,26374,0.137776886,3633.73,2022,November,11,Thursday,4,3,,,
173,James Graham,Raymond Perez,Toyota,Civic,2010,27761,0.089636584,2488.4,2022,November,11,Sunday,7,20,,,
174,Carrie Callahan,Kevin Duncan,Nissan,Civic,2010,43319,0.07609572,3296.39,2022,September,9,Sunday,7,4,,,
175,Richard Wolfe,Brad Hammond,Chevrolet,Silverado,2022,48852,0.143595054,7014.91,2022,August,8,Monday,1,22,,,
176,Devin Phillips,Emily Hurst,Chevrolet,Altima,2013,48264,0.137051381,6614.65,2022,May,5,Thursday,4,12,,,
177,Andrew Evans,Glenn Norris,Nissan,Silverado,2013,14778,0.134549705,1988.38,2022,September,9,Sunday,7,4,,,
178,Christian Williams,Jerry Baker,Chevrolet,Silverado,2019,41216,0.12869098,5304.13,2022,May,5,Friday,5,13,,,
179,Daniel Wade,Ashley Terry,Toyota,Corolla,2022,41444,0.117242921,4859.02,2023,April,4,Friday,5,7,,,
180,Christopher Padilla,Brandi Williams,Honda,Altima,2015,19911,0.051226576,1019.97,2022,December,12,Wednesday,3,21,,,
181,Stephanie Trujillo,April Morales,Ford,Silverado,2022,43188,0.099220141,4285.12,2022,September,9,Monday,1,5,,,
182,John Sanders,David Goodman,Nissan,Corolla,2021,15664,0.089507716,1402.05,2022,June,6,Sunday,7,26,,,
183,Paul Anderson,Frank Hernandez,Honda,F-150,2010,42068,0.071436258,3005.18,2022,August,8,Wednesday,3,10,,,
184,Drew Estrada,Marissa Hill,Nissan,Corolla,2011,35611,0.077621485,2764.18,2023,March,3,Wednesday,3,1,,,
185,Shawn Cummings,Kelly Beasley,Chevrolet,Altima,2013,15064,0.053381651,804.14,2022,December,12,Friday,5,30,,,
186,Lacey Cooper,Jennifer Brown,Toyota,Altima,2015,36019,0.098335927,3541.96,2022,July,7,Saturday,6,2,,,
187,Brittany Spencer,Julie Thomas,Honda,Silverado,2021,20786,0.051632313,1073.23,2022,October,10,Wednesday,3,26,,,
188,Stephen Green,Gregory Cruz,Nissan,Corolla,2019,40825,0.129444116,5284.56,2022,September,9,Friday,5,16,,,
189,Jennifer Stevens MD,Brittany Gonzales,Chevrolet,Civic,2019,23249,0.141622041,3292.57,2023,February,2,Saturday,6,4,,,
190,Sarah Smith,Hector Smith,Honda,Corolla,2016,27831,0.104405123,2905.7,2022,December,12,Friday,5,16,,,
191,Kristen Becker,Ryan Medina,Nissan,Civic,2016,38278,0.056340279,2156.59,2022,October,10,Saturday,6,8,,,
192,Taylor Dunlap,Steven Long,Chevrolet,Civic,2017,31213,0.088501382,2762.39,2023,February,2,Friday,5,10,,,
193,Katelyn Gomez,Katrina Carter,Toyota,Corolla,2014,45989,0.050555824,2325.01,2022,May,5,Monday,1,30,,,
194,Julie Aguirre,Timothy Mccoy,Nissan,Silverado,2018,38307,0.07953119,3046.6,2023,January,1,Tuesday,2,24,,,
195,Stephen West,Michael Garcia,Nissan,Silverado,2013,27110,0.13365817,3623.47,2022,November,11,Sunday,7,6,,,
196,Tony Turner,Holly Robinson,Chevrolet,Silverado,2012,13279,0.127226247,1689.44,2022,May,5,Tuesday,2,3,,,
197,Stephanie Henderson MD,Theresa Parks,Chevrolet,Civic,2015,15232,0.141631006,2157.32,2023,March,3,Friday,5,10,,,
198,Jeffrey Henry,Melanie Krause,Toyota,Corolla,2014,48079,0.093306105,4486.06,2023,January,1,Thursday,4,5,,,
199,Scott Coleman,Dean Rhodes,Ford,Silverado,2013,10295,0.077705313,799.98,2023,March,3,Thursday,4,16,,,
200,Victor Murillo,Matthew Anderson,Chevrolet,Corolla,2015,36834,0.080895726,2979.71,2023,April,4,Saturday,6,15,,,
201,Brandon Garcia,Mr. Leslie Boyd,Toyota,Civic,2022,26685,0.141353127,3772.01,2023,January,1,Monday,1,23,,,
202,Kimberly Sandoval,Kristen Alexander,Ford,Corolla,2022,18128,0.070339221,1275.11,2023,January,1,Tuesday,2,10,,,
203,Kylie Mcclure,Christopher James,Nissan,F-150,2013,31276,0.096796368,3027.4,2022,August,8,Thursday,4,18,,,
204,Eric Browning,Jennifer Romero,Ford,Corolla,2021,13013,0.10421244,1356.12,2022,May,5,Tuesday,2,31,,,
205,Hannah Owens,Veronica Hopkins,Toyota,Corolla,2017,32731,0.070879918,2319.97,2022,June,6,Wednesday,3,15,,,
206,Ronald Bond,Andrea Johnson,Toyota,F-150,2021,37042,0.084070743,3114.15,2022,December,12,Monday,1,19,,,
207,Tyler Flores,Jessica Williams,Ford,Silverado,2020,21088,0.058376495,1231.04,2022,December,12,Saturday,6,10,,,
208,Cameron Jackson,Michael Austin,Chevrolet,Silverado,2013,12954,0.124019685,1606.55,2023,March,3,Saturday,6,11,,,
209,Erin Richardson,Michael Mejia,Toyota,F-150,2015,33830,0.08465107,2863.75,2022,May,5,Tuesday,2,31,,,
210,Matthew Henderson,John Ortiz,Chevrolet,Altima,2010,28739,0.073146533,2102.16,2022,August,8,Tuesday,2,16,,,
211,Mrs. Wendy Bauer,Debra Stewart,Chevrolet,Corolla,2022,39685,0.093907499,3726.72,2022,December,12,Saturday,6,10,,,
212,Kendra Snyder,Ashley Hayden,Toyota,Silverado,2012,22549,0.099868092,2251.93,2022,December,12,Tuesday,2,6,,,
213,Robin Ortiz,Christopher Sloan,Toyota,F-150,2012,33952,0.104609123,3551.69,2022,November,11,Tuesday,2,8,,,
214,Blake Jones,Darrell Murphy,Ford,Civic,2019,49173,0.098126603,4825.18,2023,March,3,Tuesday,2,21,,,
215,Tammy Obrien,Frederick Jones,Toyota,F-150,2011,42705,0.06938885,2963.25,2023,April,4,Sunday,7,9,,,
